Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
16,10,65.27,0.00,10064
16,11,64.87,0.00,10731
16,12,64.27,0.00,11242
16,13,64.06,0.00,11853
16,14,63.07,0.00,12120
16,15,60.44,0.00,12532
16,16,58.99,0.00,13275
16,17,58.20,0.00,13663
16,18,56.29,0.00,14176
16,19,51.88,0.00,14439
16,20,49.59,0.00,15210
16,21,46.75,0.00,15213
16,22,45.38,0.00,15979
16,23,42.80,0.00,16372
16,24,41.34,0.00,16065
16,25,41.56,0.00,16183
16,26,41.61,0.00,16162
16,27,41.27,0.00,16154
16,28,40.85,0.00,16351
16,29,41.22,0.00,16156
16,30,41.77,0.00,16601
16,31,41.51,0.00,16124
16,32,40.71,0.00,16377
16,33,41.34,0.00,16200
16,34,41.44,0.00,16155
16,35,41.07,0.00,15978
16,36,41.88,0.00,16171
16,37,41.06,0.00,16534
16,38,40.98,0.00,16319
16,39,41.51,0.00,15978
16,40,41.20,0.00,16274
16,41,41.66,0.00,16206
16,42,41.31,0.00,16410
16,43,40.91,0.00,15928
16,44,41.19,0.00,16127
16,45,41.41,0.00,16029
16,46,41.03,0.00,16111
16,47,42.34,0.00,16435
16,48,40.61,0.00,16377
16,49,41.17,0.00,16273
16,50,41.16,0.00,16120
